12/14-18:28:36; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 55466; 100.0.0.40; 8001
12/14-18:28:36; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 55466; 100.0.0.40; 8001
12/14-18:28:36; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 56466; 100.0.0.40; 8001
12/14-18:28:36; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 56466; 100.0.0.40; 8001
12/14-18:28:37; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 58254; 100.0.0.40; 8001
12/14-18:28:37; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 59254; 100.0.0.40; 8001
12/14-18:28:37; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 58254; 100.0.0.40; 8001
12/14-18:28:37; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 59254; 100.0.0.40; 8001
12/14-18:28:38; 1:1000006:1; Nmap SYN Scan Detected; 4; TCP; 10.0.0.20; 60452; 100.0.0.40; 8001
12/14-18:28:38; 1:1000006:1; Nmap SYN Scan Detected; 4; TCP; 10.0.0.20; 60452; 100.0.0.40; 8001
12/14-18:28:38; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 61442; 100.0.0.40; 8001
12/14-18:28:38; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 61442; 100.0.0.40; 8001
12/14-18:28:38; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 63082; 100.0.0.40; 8001
12/14-18:28:38; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 63082; 100.0.0.40; 8001
12/14-18:28:39; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 64700; 100.0.0.40; 8001
12/14-18:28:39; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 64700; 100.0.0.40; 8001
12/14-18:28:39; 1:1000007:1; DDoS SYN Flood Attack Detected on Ports 22, 80, 8001, 8081, 8082; 1; TCP; 10.0.0.20; 225; 100.0.0.40; 8001
